femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,hash,lastRefresh,id,year
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,1,99001,Appling (County),17110,052814a65cfc8b23ea21f05806b0f12d,2020-10-05T14:22:33.249Z,5f7b2c2931a8c6681cff831a,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,5,99005,Bacon (County),17110,fb6bac1790abad8370551f00fd5d4c9c,2020-10-05T14:22:33.250Z,5f7b2c2931a8c6681cff831f,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,3,99003,Atkinson (County),17110,97d5028e19267602f13ace25b183ad20,2020-10-05T14:22:33.250Z,5f7b2c2931a8c6681cff8320,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,7,99007,Baker (County),17110,6d47444aee1f66d6f9208de299e7e2c3,2020-10-05T14:22:33.251Z,5f7b2c2931a8c6681cff8325,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,9,99009,Baldwin (County),17110,af6b6e53dd7e1bbbf72f07ae3829a71c,2020-10-05T14:22:33.252Z,5f7b2c2931a8c6681cff8328,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,13,99013,Barrow (County),17110,452ddc7e7ce5fef02304824b83181944,2020-10-05T14:22:33.253Z,5f7b2c2931a8c6681cff832c,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,11,99011,Banks (County),17110,380df6765ce817681b6489dcbd4b8111,2020-10-05T14:22:33.252Z,5f7b2c2931a8c6681cff832f,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,15,99015,Bartow (County),17110,49664357aace74a3d8bb4e1c9b5a22df,2020-10-05T14:22:33.254Z,5f7b2c2931a8c6681cff833b,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,17,99017,Ben Hill (County),17110,f11379cb87f4670c00bfc0ca1f26928f,2020-10-05T14:22:33.255Z,5f7b2c2931a8c6681cff833d,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,21,99021,Bibb (County),17110,c192f024291bef110758a00df2501e9e,2020-10-05T14:22:33.256Z,5f7b2c2931a8c6681cff8343,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,23,99023,Bleckley (County),17110,6e882f6d4908bbb08c22eb85a2205196,2020-10-05T14:22:33.257Z,5f7b2c2931a8c6681cff8346,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,25,99025,Brantley (County),17110,9a243dd750580745f8a21492ce7910ff,2020-10-05T14:22:33.257Z,5f7b2c2931a8c6681cff834a,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,27,99027,Brooks (County),17110,5ca0d5f8cc80543accf78654e7bd591e,2020-10-05T14:22:33.259Z,5f7b2c2931a8c6681cff8351,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,29,99029,Bryan (County),17110,b97655507016de6184dbc7592f0c84c3,2020-10-05T14:22:33.259Z,5f7b2c2931a8c6681cff8354,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,31,99031,Bulloch (County),17110,354a9e0a7789b387f6e089fa65a574eb,2020-10-05T14:22:33.260Z,5f7b2c2931a8c6681cff8356,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,19,99019,Berrien (County),17110,bb6390d6924d1d9c5559a34032f0f2b8,2020-10-05T14:22:33.256Z,5f7b2c2931a8c6681cff8358,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,33,99033,Burke (County),17110,7155cdd70f6ac9642fb6e7a5deb78edf,2020-10-05T14:22:33.261Z,5f7b2c2931a8c6681cff835f,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,35,99035,Butts (County),17110,fc17c4b9979ddba1d40462bd4160171f,2020-10-05T14:22:33.261Z,5f7b2c2931a8c6681cff8361,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,37,99037,Calhoun (County),17110,5e255e61924e6d9fb08b219402de7ee7,2020-10-05T14:22:33.262Z,5f7b2c2931a8c6681cff8365,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,43,99043,Candler (County),17110,672c8ffb7bcf7ce50b7a90408331633a,2020-10-05T14:22:33.262Z,5f7b2c2931a8c6681cff836a,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,45,99045,Carroll (County),17110,211828018765fef4d64cc37c9210e064,2020-10-05T14:22:33.263Z,5f7b2c2931a8c6681cff836e,2017
